position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
61795	0.735716	0.000000
63231	0.734243	0.001056
63244	0.734147	0.001066
63799	0.734513	0.001473
64150	0.742335	0.001731
64934	0.742618	0.002313
65288	0.746463	0.002576
66370	7.199750	0.003384
68749	7.220007	0.020512
69094	7.219995	0.023003
69408	7.219755	0.025270
71079	7.203219	0.037334
71093	7.191159	0.037435
72892	4.657025	0.050372
74347	3.325397	0.057148
75254	0.837345	0.060164
76962	0.491121	0.061594
80655	0.487868	0.063408
82416	0.488031	0.064267
83570	0.488104	0.064830
85116	0.488078	0.065585
87416	0.488068	0.066707
90984	1.050289	0.068449
91088	2.319963	0.068558
91227	2.908467	0.068881
91346	4.277567	0.069227
91508	4.980081	0.069920
91707	5.022650	0.070911
92366	2.599163	0.074221
92527	0.807632	0.074639
92891	0.391466	0.074933
93440	0.379345	0.075148
93499	0.364308	0.075170
94091	0.338784	0.075386
95093	0.338075	0.075726
96931	0.341799	0.076347
97122	0.346144	0.076412
97394	0.354536	0.076506
98930	0.372589	0.077051
100272	0.318661	0.077551
100505	0.230581	0.077625
100699	0.116057	0.077670
101362	0.080696	0.077747
101905	0.066053	0.077791
102181	0.051279	0.077809
102799	0.047396	0.077841
103517	0.047553	0.077875
107201	0.047590	0.078050
108187	0.064135	0.078097
108328	0.082946	0.078106
109272	0.118815	0.078184
109377	0.151630	0.078197
121976	0.151081	0.080107
122508	0.152017	0.080187
124302	0.253458	0.080460
124412	0.876454	0.080488
124998	0.953370	0.081002
125121	1.052051	0.081119
125538	10.231289	0.081557
126529	10.654160	0.091697
126600	10.044012	0.092453
126614	8.518412	0.092594
126678	6.895363	0.093139
126760	0.797582	0.093704
126923	0.737596	0.093834
127194	0.734030	0.094034
127720	0.732865	0.094420
127952	0.733193	0.094590
128713	0.741177	0.095148
129013	0.736099	0.095371
129063	0.729485	0.095407
129613	0.463033	0.095809
129635	0.462504	0.095819
129864	0.352411	0.095925
131362	0.353588	0.096453
131495	0.354244	0.096500
131657	0.355298	0.096557
132775	0.513322	0.096954
133158	0.523011	0.097151
133900	1.246453	0.097539
134017	5.458391	0.097685
134476	5.188557	0.100190
134539	4.281873	0.100517
134643	4.281873	0.100962
134844	1.068519	0.101823
134931	0.880526	0.101916
135488	0.410397	0.102407
135897	0.413508	0.102574
136025	1.069196	0.102627
136374	0.214707	0.103000
136454	0.209462	0.103018
136568	0.211801	0.103042
136721	0.214067	0.103074
137310	0.214067	0.103200
137454	0.215105	0.103231
137900	0.216878	0.103327
137933	0.218048	0.103334
138004	0.218986	0.103349
138125	0.220427	0.103376
138148	0.222115	0.103381
138460	0.222115	0.103450
138555	0.222115	0.103471
138620	0.222115	0.103486
139154	0.222115	0.103604
139173	0.222116	0.103609
139409	0.222116	0.103661
139419	0.222116	0.103663
139456	0.222116	0.103672
139576	0.222116	0.103698
139745	0.190948	0.103736
139841	0.152437	0.103754
140086	0.130957	0.103791
140171	0.130957	0.103803
140280	0.120347	0.103817
140505	0.120347	0.103844
140506	0.120407	0.103844
140695	0.120801	0.103867
143723	0.126239	0.104233
143754	0.169730	0.104236
143918	0.677997	0.104264
144382	6.521275	0.104579
144551	4.718625	0.105681
144570	2.945971	0.105771
144899	0.210011	0.106740
145413	0.210951	0.106848
145853	0.210951	0.106941
146951	0.210946	0.107172
146995	0.225718	0.107182
147685	0.232837	0.107337
148084	0.236087	0.107430
149407	0.256191	0.107742
149975	0.260472	0.107888
151330	0.294870	0.108241
153267	0.236337	0.108812
157157	0.328596	0.109731
157746	0.292948	0.109925
160533	0.121719	0.110741
161502	0.122778	0.110859
161736	0.125246	0.110888
162683	0.123518	0.111007
164083	0.118150	0.111180
164284	0.116407	0.111203
164436	0.113924	0.111221
165802	0.113916	0.111377
165832	0.113892	0.111380
166163	0.113896	0.111418
166188	0.114094	0.111421
167900	0.121533	0.111616
168020	0.132698	0.111631
168241	0.138171	0.111660
168466	0.144659	0.111691
168728	0.159639	0.111729
169701	0.203669	0.111884
169995	0.458549	0.111944
170589	0.458675	0.112217
170642	0.268694	0.112241
170814	0.268221	0.112287
170940	0.267899	0.112321
171189	0.269178	0.112388
171822	0.270341	0.112558
171839	0.272414	0.112563
172741	0.374566	0.112808
172799	0.445093	0.112830
173928	6.472359	0.113332
176618	6.472359	0.130743
177225	0.630692	0.134672
178856	0.480174	0.135700
180188	0.475935	0.136340
181638	0.474551	0.137030
181967	0.473831	0.137186
182013	0.472908	0.137208
182886	0.470530	0.137621
183222	0.468714	0.137779
185844	0.474824	0.139008
185926	0.481823	0.139047
186405	0.485379	0.139278
188030	0.485578	0.140066
188107	0.485429	0.140104
188318	0.485643	0.140206
189520	0.486143	0.140790
191797	2.150471	0.141897
191809	3.866121	0.141923
192069	4.320514	0.142928
193321	4.194573	0.148337
194282	3.318785	0.152368
194527	1.279388	0.153181
195171	0.373238	0.154005
197162	0.372409	0.154748
197675	0.370511	0.154939
197804	0.369434	0.154987
200142	0.337573	0.155851
204242	0.337522	0.157235
206402	0.453873	0.157964
207903	2.952388	0.158645
208550	3.321692	0.160556
208685	3.307142	0.161004
209404	2.630556	0.163382
209851	2.523379	0.164558
210061	2.448489	0.165088
210306	2.451960	0.165687
210634	2.466857	0.166492
211509	2.463228	0.168650
213423	2.055348	0.173365
213523	1.011841	0.173570
216811	1.641853	0.176897
217074	1.914077	0.177329
217281	2.350024	0.177725
218783	2.095437	0.181255
219011	1.569765	0.181733
219662	0.392063	0.182755
220262	0.393681	0.182990
220290	0.393648	0.183001
220303	0.393285	0.183006
220757	0.424260	0.183185
221018	0.655034	0.183295
221308	0.686720	0.183485
221537	0.716412	0.183643
221853	1.020501	0.183869
221942	1.242402	0.183960
222262	1.141808	0.184357
222632	1.362752	0.184780
222730	1.353589	0.184913
222836	1.092194	0.185057
223255	1.129789	0.185515
223439	1.066638	0.185722
223538	1.012890	0.185828
223858	1.003407	0.186152
224128	0.995778	0.186423
225058	0.666619	0.187349
225444	0.591497	0.187606
225605	0.581425	0.187702
225622	0.573655	0.187712
226153	0.479385	0.188016
226430	0.481332	0.188149
226444	0.408221	0.188156
226518	0.407188	0.188186
227967	0.419076	0.188776
228355	1.063174	0.188939
228577	0.677850	0.189175
228706	0.795530	0.189262
228740	0.939621	0.189289
230177	0.876160	0.190639
230516	1.577072	0.190936
230983	0.373993	0.191673
232107	0.446738	0.192093
232580	0.397972	0.192304
233623	3.504288	0.192720
233858	3.538097	0.193543
234373	3.534410	0.195365
235722	0.345594	0.200133
236088	0.313425	0.200260
236168	0.137239	0.200285
236238	0.040416	0.200294
236419	0.025842	0.200302
236802	0.025842	0.200311
236828	0.025845	0.200312
236992	0.025844	0.200316
237418	0.025817	0.200327
237497	0.029943	0.200329
237545	0.038193	0.200331
237618	0.068209	0.200334
238020	0.738240	0.200361
238507	0.835628	0.200721
238530	0.999730	0.200740
238540	1.197104	0.200750
238737	1.269220	0.200986
239294	1.132699	0.201693
239664	1.512248	0.202112
239688	1.798946	0.202148
240706	2.109722	0.203979
241131	2.338526	0.204876
241366	2.362222	0.205425
241396	2.396185	0.205496
243147	2.396810	0.209692
243306	2.396412	0.210073
243352	2.459799	0.210183
243398	2.507319	0.210297
243420	2.506229	0.210352
244092	2.507772	0.212036
244933	2.516588	0.214145
246018	2.522854	0.216875
246392	20.469417	0.217819
247647	20.469142	0.243508
248064	4.930038	0.252044
248926	4.882630	0.256293
249240	4.851283	0.257827
250076	4.851392	0.261882
250934	4.872893	0.266045
251494	4.927834	0.268774
252165	4.930001	0.272080
252721	4.958364	0.274821
255240	4.946680	0.287311
255882	3.574531	0.290487
256107	1.402935	0.291291
256727	1.426558	0.292161
256886	1.543564	0.292388
256992	2.466040	0.292552
257032	3.591857	0.292650
258865	3.239813	0.299234
259398	3.032186	0.300961
260980	3.032186	0.305758
264997	2.990520	0.317938
265968	2.904980	0.320842
267842	1.470062	0.326286
267946	0.217429	0.326439
269006	0.218597	0.326669
269690	1.541867	0.326819
269703	2.954146	0.326839
270775	3.488510	0.330006
274333	3.507078	0.342418
277832	4.087791	0.354689
283535	5.691467	0.378002
283877	6.293105	0.379948
284814	6.910089	0.385845
284834	7.422113	0.385983
285323	7.776608	0.389612
286047	7.510416	0.395243
286526	7.625226	0.398840
286838	10.230852	0.401219
288233	11.443696	0.415491
288776	11.441882	0.421705
288922	11.513615	0.423376
288996	11.513971	0.424228
289362	11.511534	0.428442
289612	11.503293	0.431320
289785	11.494610	0.433310
290257	11.368237	0.438735
290297	11.247639	0.439190
290318	11.124053	0.439426
290763	11.122027	0.444376
291751	10.041904	0.455365
291971	9.745426	0.457574
296172	13.135868	0.498515
303936	12.969317	0.600502
304086	12.559852	0.602447
304550	8.872967	0.608275
308976	8.633072	0.647547
309692	4.298511	0.653728
310474	4.050913	0.657089
310493	3.832882	0.657166
311290	3.790036	0.660221
313237	3.789269	0.667600
315842	3.789701	0.677471
317985	3.790173	0.685593
320344	3.792528	0.694534
322612	3.802618	0.703135
323308	3.992091	0.705782
323583	4.140888	0.706880
324123	4.184755	0.709116
325102	5.391009	0.713212
326016	8.246599	0.718140
326150	8.973604	0.719245
326478	8.973507	0.722188
328959	8.973507	0.744452
329713	9.073255	0.751218
329842	9.068333	0.752388
333064	9.074088	0.781606
333463	8.943103	0.785227
333497	8.789420	0.785531
334403	6.197484	0.793494
335225	6.197484	0.798588
335621	6.107093	0.801043
336570	6.119151	0.806838
337386	6.111119	0.811831
340235	6.110153	0.829242
341868	6.110567	0.839220
341946	6.146910	0.839696
344079	8.407469	0.852808
344631	8.820972	0.857449
344885	8.820972	0.859689
345617	8.893149	0.866146
345864	8.927115	0.868343
346751	9.007167	0.876261
347202	14.479782	0.880323
347355	38.551029	0.882539
347382	39.047892	0.883580
347459	40.391426	0.886586
347558	64.225577	0.890585
347908	64.225577	0.913064
348166	64.225577	0.929634
348188	64.225577	0.931047
348334	64.225577	0.940424
349306	32.616398	1.002851
349737	9.673489	1.016909
350490	9.598331	1.024193
351015	8.252133	1.029232
351070	6.867540	1.029686
351601	6.372527	1.033333
351634	5.855837	1.033543
351664	5.519714	1.033719
351725	5.380224	1.034056
351944	5.305684	1.035234
352036	5.310774	1.035722
352170	3.753022	1.036434
352507	3.623598	1.037698
352717	3.563956	1.038459
353008	2.929185	1.039496
353085	2.184993	1.039722
353110	1.477973	1.039777
353709	1.363297	1.040662
356785	1.347174	1.044855
357050	1.343325	1.045212
358935	1.434092	1.047745
360460	9.095029	1.049932
360789	10.896344	1.052924
364747	10.921403	1.096052
365598	10.925355	1.105346
365607	10.925191	1.105444
369428	10.912882	1.147189
370150	5.835011	1.155068
371819	5.833179	1.164807
372358	5.830419	1.167951
373836	5.851994	1.176568
376465	6.289150	1.191953
377226	7.087386	1.196739
377979	7.107528	1.202076
378242	7.116439	1.203945
380980	5.189964	1.223430
381191	4.481740	1.224525
382876	4.407364	1.232077
383720	3.977412	1.235797
384898	2.977400	1.240482
385052	2.205149	1.240941
389881	2.007590	1.251589
389984	1.856610	1.251796
391170	1.526073	1.253998
391564	1.522752	1.254599
397928	4.878017	1.264290
398278	5.810600	1.265998
400883	6.009242	1.281134
402171	6.384984	1.288874
402440	6.389698	1.290592
402710	6.325335	1.292317
402921	6.259051	1.293651
403653	4.841991	1.298233
403661	4.841991	1.298272
404407	4.791993	1.301884
404916	3.299634	1.304323
404947	1.924687	1.304425
406058	0.761158	1.306564
406559	0.753579	1.306945
406734	0.753713	1.307077
406876	0.751450	1.307184
407059	0.748401	1.307321
407108	0.746698	1.307358
408253	0.746276	1.308213
408651	0.746724	1.308510
409802	0.778553	1.309370
411242	0.778553	1.310491
411773	0.778374	1.310904
411842	0.777743	1.310958
413813	0.749258	1.312491
414133	0.750552	1.312730
415205	0.751120	1.313535
415487	0.752322	1.313747
416956	0.752667	1.314852
418267	0.752667	1.315839
418334	0.752991	1.315889
419067	0.754275	1.316441
420098	0.755333	1.317219
421511	0.756895	1.318286
422031	0.756407	1.318680
422348	0.741504	1.318919
424198	0.296253	1.320291
424852	0.288567	1.320485
425097	0.245217	1.320556
425434	0.221441	1.320638
425606	0.202218	1.320676
425865	0.200342	1.320729
426057	0.198880	1.320767
426349	0.198575	1.320825
426433	0.173027	1.320842
431502	0.178029	1.321719
431732	0.190672	1.321760
435258	0.196725	1.322432
440443	6.955204	1.323452
443798	6.959827	1.346787
443896	6.724028	1.347469
446852	0.635342	1.367345
450704	0.713262	1.369793
452757	0.860987	1.371257
453461	0.924460	1.371863
453919	0.930316	1.372287
456249	0.893459	1.374454
456452	0.801518	1.374636
456473	0.728448	1.374652
456717	0.597142	1.374830
459403	0.536959	1.376434
459720	0.494688	1.376604
459820	0.458314	1.376654
461819	0.458524	1.377570
462008	0.459817	1.377657
463995	0.361700	1.378570
464877	0.360601	1.378889
467358	0.197697	1.379784
468001	0.096960	1.379911
472727	0.094479	1.380369
473902	0.092724	1.380480
476285	0.092224	1.380701
479319	0.091563	1.380981
480851	0.091563	1.381121
482114	0.091549	1.381237
484038	0.091642	1.381413
485180	0.091837	1.381518
485321	0.092221	1.381531
488065	0.106258	1.381784
488433	0.129747	1.381823
489009	0.185813	1.381898
492830	0.249226	1.382608
493174	0.270559	1.382693
493205	0.292314	1.382702
493243	0.313423	1.382713
493507	0.313789	1.382796
493598	0.316293	1.382824
493609	0.316293	1.382828
494654	0.372561	1.383158
495739	0.352605	1.383562
495744	0.336249	1.383564
496342	0.205214	1.383765
502620	0.321357	1.385054
502937	0.434375	1.385155
503119	0.434986	1.385234
503654	0.435016	1.385467
505492	0.434975	1.386267
505777	0.434808	1.386391
511356	0.385446	1.388817
511897	0.358011	1.389025
512067	0.320002	1.389086
514459	0.291384	1.389851
515927	0.291369	1.390279
517161	0.290732	1.390639
517857	0.290505	1.390841
517887	0.289633	1.390850
518752	0.289639	1.391100
519697	0.289064	1.391374
520471	0.288992	1.391598
524923	0.290741	1.392884
525493	0.290763	1.393050
526670	0.339917	1.393392
527495	0.461750	1.393673
527967	0.466845	1.393891
529615	0.472629	1.394660
530458	0.644248	1.395058
530812	0.813901	1.395286
530966	0.886467	1.395412
531074	0.916180	1.395508
531174	0.927093	1.395599
531221	0.942394	1.395643
531978	0.953595	1.396356
532059	0.967921	1.396433
532103	0.985895	1.396476
532332	0.978036	1.396702
532925	1.858135	1.397282
535497	19.720425	1.402061
536145	19.694382	1.414840
536429	13.885167	1.420433
536536	12.117764	1.421919
536785	9.849929	1.424936
536859	1.785369	1.425665
537678	1.794748	1.427127
537820	1.794615	1.427382
538203	1.810491	1.428069
538235	1.812293	1.428127
538247	1.822216	1.428149
538829	1.846346	1.429209
539018	1.921256	1.429558
539123	1.961527	1.429760
539650	1.243924	1.430794
539833	0.355846	1.431021
541262	0.318435	1.431530
541335	0.291593	1.431553
541589	0.283279	1.431627
542382	0.508118	1.431852
542700	1.139683	1.432014
543301	1.380480	1.432698
543616	1.438907	1.433133
543744	1.761210	1.433317
544015	2.835791	1.433795
544363	4.688697	1.434782
544417	13.223994	1.435035
545600	13.313046	1.450679
545905	13.313046	1.454739
547749	22.137499	1.479289
547972	22.137499	1.484225
548187	22.599119	1.488985
549364	22.583228	1.515584
549598	22.577282	1.520868
549907	22.202449	1.527845
549918	21.825570	1.528089
550600	18.024059	1.542974
550788	16.207147	1.546363
550815	14.587511	1.546800
550818	13.090256	1.546844
551921	13.072190	1.561282
553233	13.062424	1.578433
553269	13.027447	1.578903
553928	13.025896	1.587489
554791	13.030987	1.598730
554965	13.031919	1.600997
555352	2.515912	1.606041
556094	2.518593	1.607907
556783	2.548250	1.609643
557344	2.548283	1.611072
561125	10.266812	1.620707
561189	15.015378	1.621364
561916	15.068699	1.632281
562314	15.069588	1.638278
562445	15.070037	1.640252
563033	9.161086	1.649113
564110	6.953404	1.658980
564373	6.886106	1.660809
564893	5.463976	1.664389
565077	4.163892	1.665395
565308	3.480128	1.666357
565985	6.127535	1.668713
567652	6.127535	1.678927
568696	6.119155	1.685324
569374	6.119501	1.689473
572872	6.604960	1.710879
573036	9.782029	1.711962
573741	9.787354	1.718859
574282	9.795510	1.724154
574308	9.878695	1.724408
579657	11.734016	1.777249
581248	12.633607	1.795918
583587	12.621921	1.825468
584863	12.620664	1.841574
586955	12.598182	1.867976
587162	12.538586	1.870584
588089	5.123876	1.882207
591694	4.700065	1.900679
591769	4.827704	1.901031
591820	4.402159	1.901278
592038	4.990324	1.902237
592470	5.338382	1.904393
592525	5.592436	1.904687
592801	5.628828	1.906230
593076	5.630201	1.907778
593308	5.632574	1.909084
593318	5.636344	1.909141
593488	5.588080	1.910099
593620	5.029927	1.910837
593641	4.306933	1.910942
593661	3.169092	1.911028
594780	2.799572	1.914574
595425	2.246689	1.916380
595579	2.214322	1.916726
595689	1.879752	1.916970
597738	1.836057	1.920821
598195	1.456297	1.921660
598278	1.161902	1.921781
598427	0.964532	1.921954
598536	0.865506	1.922060
598694	0.661849	1.922196
600847	0.837946	1.923621
600964	1.180006	1.923719
601035	1.488386	1.923803
602622	3.058565	1.926165
602878	3.247157	1.926948
603024	3.917456	1.927422
603206	4.120196	1.928135
603620	4.067652	1.929841
604435	3.970570	1.933156
605889	3.958507	1.938929
605937	3.917902	1.939119
606714	3.640148	1.942164
609367	3.571126	1.951821
610661	3.070038	1.956442
611929	2.674838	1.960335
617808	2.824130	1.976060
619392	3.455273	1.980534
619611	4.241486	1.981290
621825	4.321560	1.990681
625267	4.464432	2.005556
626081	4.573438	2.009190
626164	4.634972	2.009569
626289	4.647113	2.010149
626502	4.647113	2.011139
627307	4.647113	2.014879
628890	4.655626	2.022236
630970	4.670977	2.031920
631117	4.690931	2.032606
631425	4.692133	2.034051
632959	4.922726	2.041249
635054	4.922726	2.051562
638921	4.955495	2.070598
641893	5.572353	2.085326
643677	5.653489	2.095267
643919	5.730691	2.096635
645853	8.983048	2.107718
648989	8.982712	2.135889
652097	3.416077	2.163807
658378	3.031320	2.185264
659286	2.655622	2.188016
659441	2.411863	2.188428
659483	2.188592	2.188529
660793	2.207704	2.191396
661269	2.286520	2.192447
665551	11.654214	2.202238
665733	14.670372	2.204359
667979	14.723111	2.237308
668361	19.467736	2.242933
668559	21.196526	2.246787
668646	21.203094	2.248631
668663	21.203094	2.248992
669301	21.182650	2.262519
669942	1.312020	2.276098
670581	1.255392	2.276936
670749	1.248111	2.277147
671575	1.315494	2.278178
671591	1.382759	2.278199
672063	1.386561	2.278851
672567	1.284286	2.279550
673424	1.263368	2.280651
673542	1.263914	2.280800
673640	1.247319	2.280924
673709	1.235978	2.281010
673748	1.226249	2.281058
674962	1.225634	2.282547
674986	1.224270	2.282576
675322	1.224511	2.282988
675903	1.241627	2.283699
676442	1.310034	2.284368
676575	1.310067	2.284542
676762	1.308983	2.284787
678578	1.331127	2.287165
678767	1.338258	2.287416
679271	1.335340	2.288091
680165	1.331209	2.289284
681164	1.340657	2.290614
682306	1.355317	2.292145
683616	20.666581	2.293921
687772	20.957290	2.379811
691592	20.954951	2.459868
691821	20.954951	2.464667
692275	20.954951	2.474180
694061	20.927022	2.511606
694894	20.893486	2.529038
695019	20.893486	2.531650
695060	20.887315	2.532506
695670	20.881913	2.545248
698987	8.511291	2.614513
701011	2.563266	2.631740
701631	2.538746	2.633329
