position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
84045	0.385028	0.000000
84170	0.496493	0.000048
85057	0.496790	0.000489
85065	0.490654	0.000492
85561	0.488585	0.000736
85658	0.488783	0.000783
88165	0.492232	0.002009
89475	0.542866	0.002653
91010	0.706548	0.003487
94808	0.627162	0.006170
95254	0.577207	0.006450
95481	0.530653	0.006581
97354	0.580680	0.007575
101263	0.862995	0.009845
103517	0.862358	0.011790
107275	0.873111	0.015031
110165	0.885571	0.017554
112775	0.885007	0.019865
113970	1.493257	0.020923
115072	1.656519	0.022568
115185	1.813886	0.022756
115657	1.801964	0.023612
117194	1.013170	0.026381
119019	0.920865	0.028230
119729	0.865700	0.028884
120334	0.858915	0.029408
121845	0.858147	0.030706
124161	0.859693	0.032693
128954	1.382686	0.036814
129277	2.404790	0.037260
130406	2.557003	0.039975
130853	2.586942	0.041118
133093	2.351927	0.046913
133878	1.761736	0.048759
133946	0.883588	0.048879
135652	0.876288	0.050387
136888	0.868074	0.051470
141659	0.852459	0.055611
142825	0.848778	0.056605
143503	0.819136	0.057181
145032	0.820380	0.058433
145282	0.496608	0.058638
145884	0.355464	0.058937
147705	0.356461	0.059585
147814	0.357280	0.059623
148009	0.357924	0.059693
152472	0.358292	0.061290
154844	0.358245	0.062140
155320	0.358630	0.062311
155358	0.358637	0.062325
155966	0.359261	0.062543
157141	0.359864	0.062965
161938	0.361533	0.064691
163351	0.364357	0.065202
163418	0.365861	0.065226
163598	0.369916	0.065292
163626	0.370075	0.065302
164935	0.377744	0.065787
167408	0.376867	0.066721
168534	0.366006	0.067145
168691	0.436038	0.067203
170328	0.339427	0.067917
175186	0.341879	0.069566
176743	0.339022	0.070098
180719	0.340437	0.071446
182467	0.342408	0.072041
184242	0.463058	0.072649
184390	0.658745	0.072717
185102	0.700184	0.073186
185123	1.062099	0.073201
187429	3.720726	0.075650
190005	3.721641	0.085235
192314	3.744287	0.093828
195176	3.643106	0.104544
198835	3.572899	0.117874
